"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2018 EC1)","5","26.2","10 - 45","7","11.262, 362","11.840, 354","155","? 2024-08 [22.9] ?","none","none","bK18E01C"
"(2009 BN58)","7","25.8","12 - 54","8","11.333, 378","11.913, 338","153","none","none","none","bK09B58N"
"(2010 CJ18)","10","26.8","7.6 - 34","7","11.563, 370","11.850, 362","153","none","none","none","bK10C18J"
"(2016 PA40)","13","24.4","23 - 103","6","11.513, 410","11.933, 402","152","2019-07 [23.4]","none","none","bK16P40A"
"(2019 AH2)","3","24.3","24 - 107","7","11.645, 410","11.969, 354","152","? 2034-10 [22.8] ?","none","none","bK19A02H"
"(2002 JU15)","12","26.2","10 - 45","8","10.338, 370","11.964, 330","151","none","none","none","bK02J15U"
"(2003 XH10)","8","25.5","14 - 62","7","10.587, 362","11.664, 346","151","none","none","none","bK03X10H"
"(2009 WF54)","6","25.8","12 - 54","9","11.256, 394","11.998, 314","151","? 2028-07 [23.6] ?","none","none","bK09W54F"
"497113 (2004 EK1)","39","22.2","63 - 282","0","11.168, 370","11.879, 354","150","2021-05 [23.0]","none","none","a0497113"
"(2013 DG)","16","24.4","23 - 103","4","11.297, 354","11.995, 194","148","2030-01 [22.4]","2030-03 [22]","none","bK13D00G"
"(2009 KT4)","10","21.8","76 - 340","8","11.386, 378","11.919, 186","147","? 2021-09 [23.8] ?","none","none","bK09K04T"
"(2012 WH1)","17","23.9","29 - 129","3","11.458, 362","11.974, 322","147","2023-09 [23.0]","2029-12 [2100]","2029-12 [41]","bK12W01H"
"(2010 XG64)","5","27.9","4.5 - 20","9","10.657, 386","11.897, 370","145","none","none","none","bK10X64G"
"(2015 XY169)","6","25.2","16 - 71","7","10.932, 370","11.830, 178","143","? 2020-12 [20.4] ?","none","none","bK15XG9Y"
"(2017 WK15)","4","26.7","8.0 - 36","7","10.759, 370","11.915, 162","142","none","none","none","bK17W15K"
"(2016 GD207)","10","25.8","12 - 54","7","10.716, 362","11.890, 138","140","none","none","none","bK16GK7D"
"(2011 UZ275)","24","23.6","33 - 148","7","10.621, 362","11.952, 330","139","? 2021-04 [23.3] ?","none","none","bK11UR5Z"
"(2016 EM157)","6","26.9","7.3 - 32","6","10.853, 346","11.993, 314","138","? 2033-03 [23.8] ?","none","none","bK16EF7M"
"(2017 HY4)","7","25.5","14 - 62","7","10.964, 370","11.955, 338","138","? 2028-02 [21.3] ?","none","none","bK17H04Y"
"(2019 LX5)","1","26.7","8.0 - 36","8","11.317, 330","11.880, 218","138","none","none","none","bK19L05X"
"(2015 KD57)","4","28.2","4.0 - 18","8","11.399, 378","11.957, 354","136","none","none","none","bK15K57D"
"(2018 FZ2)","1","24.3","24 - 107","7","11.279, 386","11.790, 362","136","? 2025-06 [23.3] ?","none","none","bK18F02Z"
"(2007 VD3)","18","22.2","63 - 282","2","11.286, 370","11.898, 354","133","2027-09 [23.7]","none","none","bK07V03D"
"(2017 FV64)","3","25.0","17 - 78","7","11.088, 378","11.982, 346","130","? 2024-01 [23.9] ?","none","none","bK17F64V"
"(2018 XT3)","2","25.2","16 - 71","8","11.457, 378","11.953, 338","130","none","none","none","bK18X03T"
"(2006 SU217)","10","25.3","15 - 68","5","10.115, 450","11.898, 434","129","none","none","none","bK06SL7U"
"(2017 YZ4)","3","28.1","4.2 - 19","6","11.176, 346","11.989, 298","127","none","none","none","bK17Y04Z"
"(2014 BS)","6","26.3","10 - 43","8","10.393, 362","11.850, 338","126","? 2038-01 [23.9] ?","none","none","bK14B00S"
"(2017 VY13)","7","26.4","9.1 - 41","7","11.317, 378","11.981, 338","126","? 2021-04 [23.6] ?","none","none","bK17V13Y"
"(2016 EV84)","12","26.7","8.0 - 36","6","10.825, 178","11.914, 154","124","none","none","none","bK16E84V"
"(2016 FW13)","6","29.5","2.2 - 10","7","11.407, 362","11.872, 346","123","none","none","none","bK16F13W"
"(2002 JX8)","18","20.0","174 - 778","1","11.086, 378","11.995, 122","122","2021-03 [20.2]","2023-05 [160]","2025-05 [740]","bK02J08X"
"(2014 MW26)","10","22.7","50 - 224","5","10.824, 362","11.964, 338","122","2022-08 [22.4]","none","none","bK14M26W"
"(2006 BO7)","6","29.3","2.4 - 11","7","11.308, 346","11.935, 306","121","? 2030-05 [22.9] ?","none","none","bK06B07O"
"(2018 ME5)","14","22.8","48 - 214","4","11.508, 362","11.858, 338","120","2023-05 [19.5]","2023-07 [28]","none","bK18M05E"
"(2012 FV35)","5","25.1","17 - 74","9","11.335, 362","11.822, 338","119","? 2040-03 [21.5] ?","none","none","bK12F35V"
"(2013 EN20)","4","29.1","2.6 - 12","8","11.419, 306","11.986, 242","116","none","none","none","bK13E20N"
"(2014 RA12)","6","24.4","23 - 103","7","11.432, 354","11.919, 170","116","? 2022-03 [23.7] ?","none","none","bK14R12A"
"(2005 UW5)","9","27.5","5.5 - 25","7","11.290, 338","11.922, 314","115","none","none","none","bK05U05W"
"(2017 RO17)","2","26.1","10 - 47","6","11.587, 362","11.998, 338","115","2026-10 [23.2]","none","none","bK17R17O"
"(2019 HT2)","3","25.7","12 - 56","8","11.155, 370","11.881, 178","113","? 2037-04 [19.5] ?","none","none","bK19H02T"
"(2017 JS1)","4","25.5","14 - 62","6","11.627, 362","11.988, 346","112","? 2032-04 [23.4] ?","none","none","bK17J01S"
"(2012 BY76)","5","25.5","14 - 62","9","11.412, 354","11.976, 322","111","? 2023-08 [23.3] ?","none","none","bK12B76Y"
"(2017 YD7)","2","27.3","6.0 - 27","8","11.176, 378","11.982, 346","111","? 2040-12 [21.8] ?","none","none","bK17Y07D"
"(1996 FT1)","13","24.4","23 - 103","8","11.488, 322","11.978, 290","110","? 2039-09 [22.1] ?","none","none","bJ96F01T"
"(2019 CV1)","3","25.5","14 - 61","8","11.469, 346","11.940, 266","109","? 2039-10 [20.7] ?","none","none","bK19C01V"
"(2015 GY)","40","21.7","80 - 356","2","11.047, 362","11.906, 346","108","2024-02 [23.7]","2036-04 [41]","2037-10 [20]","bK15G00Y"
"(2016 LQ1)","5","25.5","14 - 62","7","11.536, 362","11.977, 154","107","none","none","none","bK16L01Q"
"(2017 BP91)","8","23.3","38 - 170","2","11.590, 442","11.989, 362","107","2019-09 [22.6]","none","none","bK17B91P"
"(2015 SS2)","8","25.8","12 - 54","7","10.960, 362","11.951, 338","106","none","none","none","bK15S02S"
"(2013 BW15)","4","25.6","13 - 59","9","11.668, 354","11.959, 306","105","none","none","none","bK13B15W"
"341050 (2007 HZ)","70","20.2","159 - 709","0","11.538, 394","11.998, 354","104","2021-01 [23.1]","none","none","a0341050"
"416151 (2002 RQ25)","71","20.7","126 - 564","0","10.712, 402","11.621, 386","103","2020-09 [22.6]","2022-03 [34]","none","a0416151"
"(2013 KS1)","6","26.8","7.6 - 34","8","11.443, 330","11.853, 298","103","? 2022-04 [19.3] ?","none","none","bK13K01S"
"(2016 TC)","4","25.9","11 - 51","8","11.330, 386","11.930, 338","103","? 2023-03 [23.8] ?","none","none","bK16T00C"
"363067 (2000 CO101)","148","19.1","263 - 1177","0","11.162, 370","11.789, 346","102","2019-10 [19.5]","2028-09 [6700]","2028-09 [140]","a0363067"
"(2009 FK)","8","28.3","3.8 - 17","7","11.341, 282","11.854, 258","102","none","none","none","bK09F00K"
"419624 (2010 SO16)","75","20.5","138 - 618","0","11.226, 378","11.986, 362","102","2019-07 [21.1]","none","none","a0419624"
"(2018 VG)","3","27.4","5.8 - 26","6","11.592, 330","11.969, 258","101","? 2020-10 [21.3] ?","none","none","bK18V00G"
"(2013 SU24)","33","24.5","22 - 98","3","11.321, 386","11.985, 146","101","2029-07 [20.2]","2029-10 [350]","none","bK13S24U"
"(2008 CC71)","11","24.9","18 - 81","8","11.544, 338","11.905, 250","98","none","none","none","bK08C71C"
"(2014 TL17)","25","22.9","46 - 205","3","11.356, 378","11.926, 362","97","2019-07 [22.4]","2038-10 [68]","none","bK14T17L"
"(2019 AO11)","3","25.5","14 - 61","8","10.860, 362","11.856, 346","97","? 2037-01 [23.4] ?","none","none","bK19A11O"
"(2007 TR68)","7","25.9","11 - 51","6","11.502, 370","11.977, 346","96","? 2025-09 [23.0] ?","none","none","bK07T68R"
"(2011 LV10)","5","25.1","17 - 74","8","11.178, 362","11.986, 178","96","? 2034-07 [24.0] ?","none","none","bK11L10V"
"(2017 TV3)","2","26.1","10 - 47","7","11.149, 362","11.974, 154","96","none","none","none","bK17T03V"
"(2016 FR12)","6","24.6","21 - 94","5","11.480, 370","11.908, 354","95","none","none","none","bK16F12R"
"495021 (2010 SH15)","23","22.6","53 - 235","1","11.655, 442","11.966, 378","94","2020-05 [21.0]","none","none","a0495021"
"(2012 SR56)","12","24.3","24 - 107","1","11.728, 402","11.979, 346","94","2021-03 [23.6]","none","none","bK12S56R"
"(2016 UW80)","17","24.2","25 - 112","3","11.290, 370","11.920, 354","94","2021-09 [22.6]","none","none","bK16U80W"
"(2004 HL)","6","26.5","8.7 - 39","7","11.002, 402","11.934, 362","92","? 2035-03 [21.9] ?","none","none","bK04H00L"
"(2013 PH10)","14","23.3","38 - 170","7","11.717, 426","11.997, 378","92","? 2023-03 [23.0] ?","none","none","bK13P10H"
"(2019 AV)","5","24.1","26 - 118","7","11.608, 386","11.914, 346","92","2022-02 [22.9]","none","none","bK19A00V"
"(2017 XT2)","4","25.3","15 - 68","7","10.937, 370","11.997, 202","91","none","none","none","bK17X02T"
"(2019 AG7)","10","25.4","14 - 64","6","11.517, 394","11.968, 170","91","2027-12 [22.2]","2028-01 [60]","2028-01 [15]","bK19A07G"
"(2001 EC16)","39","22.3","60 - 270","0","11.351, 354","11.984, 338","90","2020-11 [23.7]","2029-07 [22]","2029-08 [62]","bK01E16C"
"(2017 AF13)","4","26.5","8.7 - 39","6","10.985, 362","11.950, 146","90","none","none","none","bK17A13F"
"(2017 QG2)","2","27.6","5.3 - 23","8","11.323, 378","11.772, 362","89","none","none","none","bK17Q02G"
"(2018 LU2)","6","26.8","7.6 - 34","6","11.308, 378","11.962, 362","88","? 2022-06 [22.5] ?","none","none","bK18L02U"
"(2008 EV68)","10","23.5","35 - 155","7","11.566, 426","11.985, 402","88","? 2021-09 [23.4] ?","none","none","bK08E68V"
"(2000 TE2)","13","24.9","18 - 81","7","11.430, 378","11.992, 354","87","none","none","none","bK00T02E"
"(2015 OO35)","6","24.5","22 - 98","7","11.728, 362","11.987, 314","87","none","none","none","bK15O35O"
"(2008 TD2)","22","21.8","76 - 340","2","11.419, 370","11.884, 186","86","2021-03 [23.1]","2025-10 [11]","none","bK08T02D"
"(2010 EG21)","15","24.4","23 - 103","7","11.131, 362","11.810, 210","86","? 2024-02 [23.0] ?","none","none","bK10E21G"
"(2015 PA57)","15","24.5","22 - 98","6","11.597, 442","11.983, 386","86","2028-07 [23.8]","none","none","bK15P57A"
"(2018 BE11)","1","25.5","14 - 60","9","11.296, 394","11.994, 362","86","? 2030-11 [23.3] ?","none","none","bK18B11E"
"(2016 DX30)","3","26.5","8.7 - 39","7","11.596, 402","11.977, 394","85","? 2028-06 [23.3] ?","none","none","bK16D30X"
"(2018 VG6)","4","26.5","8.7 - 39","7","11.339, 394","11.997, 186","85","none","none","none","bK18V06G"
"(2014 MA68)","3","25.9","11 - 51","9","11.158, 434","11.990, 210","83","none","none","none","bK14M68A"
"(2011 UY255)","19","23.0","44 - 195","1","11.176, 370","11.876, 346","82","2022-08 [21.0]","none","none","bK11UP5Y"
"(2019 KG3)","4","25.9","11 - 51","8","11.103, 362","11.868, 162","82","? 2037-05 [22.1] ?","none","none","bK19K03G"
"(2004 PB97)","7","25.3","15 - 68","8","10.333, 362","11.908, 338","80","none","none","none","bK04P97B"
"(2015 VC105)","17","25.2","16 - 71","6","11.386, 202","11.989, 138","79","? 2039-10 [22.7] ?","none","none","bK15VA5C"
"(2003 OT13)","19","23.3","38 - 170","0","11.186, 362","11.993, 346","78","2022-04 [23.1]","none","none","bK03O13T"
"(2004 MR1)","7","25.6","13 - 59","7","11.476, 322","11.787, 290","78","? 2034-09 [22.9] ?","none","none","bK04M01R"
"(2008 TE2)","6","27.3","6.0 - 27","8","11.379, 426","11.978, 402","78","? 2039-08 [22.2] ?","none","none","bK08T02E"
"457663 (2009 DN1)","43","20.3","152 - 678","0","11.410, 378","11.969, 170","78","2020-09 [20.8]","none","none","a0457663"
"(2010 RM122)","7","25.6","13 - 59","8","10.911, 362","11.921, 338","78","none","none","none","bK10RC2M"
"(2001 WH49)","7","26.0","11 - 49","9","11.522, 386","11.958, 210","77","none","none","none","bK01W49H"
"(2014 TB36)","7","25.3","15 - 68","7","11.307, 370","11.967, 346","77","? 2031-04 [22.9] ?","none","none","bK14T36B"
"382758 (2003 GY)","89","20.2","159 - 709","0","11.702, 362","11.984, 330","76","2020-12 [22.1]","none","none","a0382758"
"(2004 BE86)","50","20.9","115 - 514","0","11.578, 386","11.933, 362","76","2020-07 [21.8]","2023-03 [79]","none","bK04B86E"
"(2015 XV129)","6","26.9","7.3 - 32","7","10.960, 186","11.970, 162","76","none","none","none","bK15XC9V"
"(2016 TA20)","10","24.3","24 - 107","7","11.128, 362","11.979, 346","76","? 2024-04 [23.8] ?","none","none","bK16T20A"
"(2017 DX35)","3","27.1","6.6 - 30","7","10.952, 362","11.867, 338","76","none","none","none","bK17D35X"
"(2011 SK68)","5","27.6","5.3 - 23","7","11.398, 362","11.910, 330","75","none","none","none","bK11S68K"
"(2015 VH1)","12","27.4","5.8 - 26","7","11.416, 306","11.929, 114","75","none","none","none","bK15V01H"
"(2006 MB)","19","22.6","53 - 235","5","10.662, 370","11.868, 354","74","2019-07 [22.6]","2026-06 [14]","none","bK06M00B"
"(2014 HA199)","3","27.9","4.6 - 20","9","11.565, 442","11.939, 394","74","none","none","none","bK14HJ9A"
"(2017 TQ5)","5","27.5","5.5 - 25","7","11.111, 378","11.968, 154","74","none","none","none","bK17T05Q"
"(2019 HY3)","4","25.7","13 - 56","7","11.054, 362","11.986, 338","74","none","none","none","bK19H03Y"
"(2018 SM1)","12","22.9","46 - 205","5","10.844, 386","11.992, 338","74","2020-06 [23.0]","none","none","bK18S01M"
"(2018 VT5)","4","28.5","3.5 - 16","7","11.345, 354","11.987, 322","74","none","none","none","bK18V05T"
"(2018 XS2)","1","26.1","10 - 47","8","11.303, 362","12.000, 154","74","none","none","none","bK18X02S"
"(2015 HB117)","29","23.6","33 - 148","5","11.306, 378","11.926, 346","73","2020-01 [23.2]","none","none","bK15HB7B"
"(2018 WD1)","3","25.4","14 - 65","8","11.020, 370","11.917, 346","73","none","none","none","bK18W01D"
"(2008 ED85)","7","29.9","1.8 - 8.1","9","11.506, 178","11.993, 138","72","none","none","none","bK08E85D"
"(2017 VL2)","8","26.1","10 - 47","7","11.256, 362","11.934, 346","72","none","none","none","bK17V02L"
"(2019 DK)","1","22.5","55 - 245","8","11.498, 378","11.900, 354","72","? 2021-06 [20.9] ?","none","none","bK19D00K"
"(2018 GR11)","1","28.5","3.5 - 16","8","11.571, 362","11.957, 346","71","none","none","none","bK18G11R"
"(2009 SH2)","21","24.9","18 - 81","4","10.878, 450","11.888, 402","71","none","none","none","bK09S02H"
"192559 (1998 VO)","66","20.3","152 - 678","0","11.608, 362","11.930, 346","69","2019-12 [22.2]","2036-05 [11]","none","a0192559"
"(2009 RU1)","10","24.3","24 - 107","8","11.587, 450","11.996, 418","69","? 2031-02 [23.1] ?","none","none","bK09R01U"
"(2014 PZ58)","18","23.5","35 - 155","4","11.562, 370","11.891, 354","69","2020-04 [24.0]","none","none","bK14P58Z"
"(2016 SU3)","5","25.3","15 - 68","7","11.389, 362","11.985, 322","68","none","none","none","bK16S03U"
"(2017 QL2)","2","25.5","14 - 62","8","11.409, 370","11.863, 346","68","? 2034-08 [23.9] ?","none","none","bK17Q02L"
"(2019 FQ)","2","27.1","6.6 - 30","6","11.276, 354","11.929, 178","68","none","none","none","bK19F00Q"
"(2018 VT8)","16","24.0","28 - 123","6","11.154, 362","11.941, 154","67","? 2030-07 [22.8] ?","none","none","bK18V08T"
"(2011 FQ6)","7","27.7","5.0 - 22","6","11.587, 450","11.959, 442","66","none","none","none","bK11F06Q"
"(2015 VF106)","5","27.6","5.3 - 23","8","11.248, 186","11.902, 138","66","none","none","none","bK15VA6F"
"(2007 LT)","19","22.6","53 - 235","0","11.649, 274","11.999, 210","65","2020-09 [23.7]","2029-04 [20]","none","bK07L00T"
"(2005 FN)","8","26.9","7.3 - 32","5","11.756, 370","11.992, 362","64","2039-11 [23.7]","none","none","bK05F00N"
"(2014 JU79)","7","23.3","38 - 170","8","11.630, 434","11.964, 418","64","? 2022-04 [23.4] ?","none","none","bK14J79U"
"(2017 QG18)","4","27.0","6.9 - 31","7","11.411, 402","11.992, 154","64","? 2033-07 [20.8] ?","none","none","bK17Q18G"
"(2006 VB45)","9","24.7","20 - 89","7","11.179, 362","11.933, 346","63","? 2029-11 [22.6] ?","none","none","bK06V45B"
"(2016 UN5)","11","25.1","17 - 74","6","11.510, 386","11.926, 338","63","none","none","none","bK16U05N"
"(2002 DQ3)","21","23.8","30 - 135","6","11.563, 370","11.950, 338","62","? 2033-02 [23.4] ?","none","none","bK02D03Q"
"(2016 SH2)","4","27.2","6.3 - 28","7","11.501, 346","11.928, 314","62","none","none","none","bK16S02H"
"(2016 UY5)","4","27.1","6.6 - 30","8","11.204, 378","11.982, 346","62","none","none","none","bK16U05Y"
"(2012 US9)","14","21.6","83 - 372","4","11.773, 370","11.994, 362","61","2019-08 [23.2]","none","none","bK12U09S"
"(2012 UU9)","10","23.9","29 - 129","7","11.465, 322","11.936, 290","61","none","none","none","bK12U09U"
"(2015 SB)","6","26.6","8.3 - 37","7","11.142, 354","11.923, 178","61","none","none","none","bK15S00B"
"(2016 LG)","29","25.3","15 - 68","2","11.121, 370","11.898, 114","61","none","none","none","bK16L00G"
"(2017 QG33)","8","23.5","35 - 155","2","11.359, 450","11.948, 442","61","2019-08 [21.6]","none","none","bK17Q33G"
"(2018 UJ1)","24","23.4","36 - 163","6","11.336, 362","11.851, 346","61","2021-08 [23.0]","none","none","bK18U01J"
"(2006 BW7)","8","26.5","8.7 - 39","8","11.744, 330","11.962, 306","60","none","none","none","bK06B07W"
"(2013 PJ10)","17","24.6","21 - 94","6","11.013, 370","11.949, 346","60","? 2029-02 [23.7] ?","none","none","bK13P10J"
"(2018 GW3)","10","24.5","22 - 98","4","11.583, 362","11.960, 354","60","2023-03 [23.0]","none","none","bK18G03W"
"(2016 LX8)","9","23.9","29 - 129","7","11.624, 370","11.901, 354","59","? 2021-11 [23.3] ?","none","none","bK16L08X"
"(2015 SE)","7","26.4","9.1 - 41","7","11.299, 362","11.928, 346","59","? 2024-08 [23.4] ?","none","none","bK15S00E"
"(2010 PW58)","14","21.7","80 - 356","2","11.622, 370","11.933, 354","58","2020-04 [22.4]","2031-08 [19]","2036-08 [380]","bK10P58W"
"(2009 WG106)","10","25.5","14 - 62","7","11.477, 370","11.898, 346","56","none","none","none","bK09WA6G"
"(2011 FR29)","9","22.0","69 - 310","4","11.110, 450","11.967, 442","56","2020-04 [23.1]","2021-07 [44]","none","bK11F29R"
"(2018 FR3)","2","27.3","6.0 - 27","7","11.421, 346","11.934, 186","55","none","none","none","bK18F03R"
"(2016 TK)","10","23.2","40 - 178","4","11.504, 370","11.776, 354","54","2019-07 [22.1]","none","none","bK16T00K"
"(2017 WJ28)","4","26.1","10 - 47","7","11.543, 370","11.955, 154","54","none","none","none","bK17W28J"
"(2018 VE4)","16","25.3","15 - 68","6","11.141, 378","11.995, 346","54","none","none","none","bK18V04E"
"(2019 KJ3)","3","25.5","14 - 61","7","11.605, 386","11.928, 362","54","2019-07 [23.3]","none","none","bK19K03J"
"(2006 DM)","10","24.1","26 - 118","7","11.361, 362","11.823, 338","53","? 2025-05 [23.7] ?","none","none","bK06D00M"
"(2016 HT6)","5","25.7","13 - 56","8","11.261, 378","11.849, 370","53","? 2024-09 [22.9] ?","none","none","bK16H06T"
"(2017 YN1)","2","26.1","10 - 47","7","11.313, 370","11.750, 346","53","none","none","none","bK17Y01N"
"(2018 BH5)","3","25.2","16 - 71","7","11.270, 450","11.978, 434","53","? 2021-08 [22.0] ?","none","none","bK18B05H"
"(2018 RG7)","6","25.5","14 - 62","7","11.601, 386","11.996, 362","53","none","none","none","bK18R07G"
"(2019 DQ)","2","26.8","7.5 - 34","7","11.632, 346","11.987, 314","52","2022-02 [23.9]","none","none","bK19D00Q"
"464798 (2004 JX20)","117","19.4","229 - 1026","0","11.720, 362","11.980, 354","52","2021-05 [21.2]","2022-06 [1500]","2022-06 [29]","a0464798"
"(2010 JW34)","9","28.1","4.2 - 19","4","10.969, 450","11.990, 442","52","none","none","none","bK10J34W"
"(2017 QP16)","2","26.7","8.0 - 36","7","11.476, 354","11.989, 306","52","none","none","none","bK17Q16P"
"(2018 UC3)","9","25.6","13 - 59","7","10.949, 370","11.919, 346","52","? 2029-04 [21.2] ?","none","none","bK18U03C"
"(2004 UR)","17","23.1","42 - 187","6","11.594, 298","11.877, 274","51","? 2037-08 [23.1] ?","none","none","bK04U00R"
"(2008 SY150)","13","24.7","20 - 89","6","11.467, 362","11.950, 338","51","? 2026-05 [23.4] ?","none","none","bK08SF0Y"
"(2015 TN145)","15","24.5","22 - 98","7","11.570, 354","11.988, 186","51","? 2024-09 [22.3] ?","none","none","bK15TE5N"
"(2018 VB5)","5","26.6","8.3 - 37","7","11.336, 362","11.914, 322","51","none","none","none","bK18V05B"
"(2008 GB21)","12","25.9","11 - 51","7","11.742, 322","11.985, 290","49","? 2030-11 [23.0] ?","none","none","bK08G21B"
"(2016 GY2)","4","26.1","10 - 47","5","11.698, 386","11.959, 378","49","? 2031-03 [20.9] ?","none","none","bK16G02Y"
"(2017 YW5)","7","23.0","44 - 195","4","11.485, 362","11.970, 346","49","2021-08 [23.4]","none","none","bK17Y05W"
"(2018 GD)","8","24.6","21 - 94","7","11.530, 226","11.975, 202","49","? 2038-10 [22.9] ?","none","none","bK18G00D"
"(2010 VU)","9","24.9","18 - 81","8","11.713, 338","11.964, 306","48","? 2028-05 [20.3] ?","none","none","bK10V00U"
"(2016 MA)","3","27.5","5.5 - 25","7","11.229, 354","11.965, 306","48","? 2025-06 [23.7] ?","none","none","bK16M00A"
"(2016 PP38)","3","26.7","8.0 - 36","9","11.573, 354","11.988, 138","48","? 2031-05 [23.9] ?","none","none","bK16P38P"
"154019 (2002 CZ9)","12","22.0","69 - 310","1","11.636, 346","11.874, 338","47","2019-10 [23.3]","2031-02 [150]","2031-03 [15]","a0154019"
"(2014 HS124)","12","22.9","46 - 205","5","11.214, 362","11.889, 338","47","2022-10 [23.6]","2025-04 [400]","2025-04 [43]","bK14HC4S"
"136618 (1994 CN2)","147","16.7","795 - 3556","1","11.575, 322","11.924, 290","46","2019-11 [18.6]","2036-11 [61]","2038-09 [35]","a0136618"
"175706 (1996 FG3)","144","18.4","363 - 1625","0","11.238, 450","11.976, 442","45","2019-12 [20.4]","2022-05 [2700]","2022-05 [120]","a0175706"
"162783 (2000 YJ11)","37","20.7","126 - 564","0","11.584, 370","11.933, 354","45","2021-03 [23.9]","none","none","a0162783"
"(2004 HT59)","7","27.2","6.3 - 28","7","11.639, 402","11.979, 386","45","none","none","none","bK04H59T"
"(2005 SQ9)","14","22.9","46 - 205","7","11.517, 370","11.976, 338","45","? 2024-02 [23.6] ?","none","none","bK05S09Q"
"(2006 XQ4)","8","26.1","10 - 47","8","11.331, 370","11.975, 354","45","? 2040-12 [22.3] ?","none","none","bK06X04Q"
"(2010 XD)","7","26.9","7.3 - 33","9","10.974, 362","11.882, 338","45","none","none","none","bK10X00D"
"(2014 QU362)","9","24.3","24 - 107","5","11.467, 362","11.942, 346","45","2023-04 [23.7]","none","none","bK14Qa2U"
"(2017 DX119)","2","28.5","3.5 - 15","7","11.471, 370","11.924, 354","45","none","none","none","bK17DB9X"
"(2017 RX1)","12","23.7","32 - 142","7","11.214, 362","11.842, 346","45","? 2036-06 [21.3] ?","none","none","bK17R01X"
"187040 (2005 JS108)","115","19.2","251 - 1124","0","11.606, 370","11.971, 346","44","2019-07 [22.3]","2024-07 [270]","2024-07 [13]","a0187040"
"(2006 UN)","18","25.5","14 - 62","6","11.486, 418","11.916, 402","44","? 2033-08 [22.6] ?","none","none","bK06U00N"
"(2007 DH8)","9","24.9","18 - 81","6","11.728, 394","11.936, 378","44","? 2026-04 [23.8] ?","none","none","bK07D08H"
"(2017 UQ5)","1","26.9","7.3 - 32","8","11.412, 362","11.827, 338","44","none","none","none","bK17U05Q"
"(2018 WM2)","10","24.4","23 - 103","7","11.752, 386","11.879, 378","43","2019-09 [23.9]","none","none","bK18W02M"
"(2018 BM6)","1","26.6","8.3 - 37","8","11.262, 386","11.946, 354","42","none","none","none","bK18B06M"
"(2009 HH21)","12","26.9","7.3 - 32","8","11.757, 378","11.978, 354","41","none","none","none","bK09H21H"
"(2014 UL192)","8","25.5","14 - 62","6","11.634, 362","11.915, 338","41","none","none","none","bK14UJ2L"
"(2017 WQ1)","3","24.8","19 - 85","7","11.689, 338","11.939, 314","41","? 2021-01 [22.1] ?","none","none","bK17W01Q"
"(2010 AR1)","11","25.8","12 - 54","7","11.398, 450","11.989, 410","40","? 2026-09 [22.4] ?","none","none","bK10A01R"
"(2012 SB3)","7","27.7","5.0 - 22","8","11.770, 298","11.881, 282","40","none","none","none","bK12S03B"
"(2018 BR6)","4","26.3","10 - 43","7","11.694, 370","11.975, 178","40","none","none","none","bK18B06R"
"(2007 TE66)","21","21.5","87 - 390","3","11.647, 386","11.913, 362","39","2019-07 [22.8]","2021-04 [12]","none","bK07T66E"
"(2012 EB)","11","23.8","30 - 135","7","11.032, 370","11.960, 346","39","? 2021-06 [22.4] ?","none","none","bK12E00B"
"450300 (2004 QD14)","42","20.5","138 - 618","0","11.434, 378","11.845, 370","38","2024-08 [22.1]","2036-07 [35]","2038-11 [24]","a0450300"
"(2008 EJ68)","13","27.0","6.8 - 30","9","11.558, 378","11.936, 370","38","none","none","none","bK08E68J"
"(2017 XF62)","7","23.6","33 - 148","6","11.552, 386","11.935, 362","38","? 2032-10 [18.9] ?","none","none","bK17X62F"
"35107 (1991 VH)","357","16.7","795 - 3556","0","11.149, 370","11.945, 354","37","2019-07 [17.9]","2020-02 [16]","2025-08 [69]","a0035107"
"(2004 FK2)","13","24.3","24 - 107","7","11.461, 346","11.930, 162","37","? 2024-01 [21.9] ?","none","none","bK04F02K"
"(2011 OR5)","8","25.9","11 - 51","7","11.624, 354","11.863, 338","37","none","none","none","bK11O05R"
"(2012 KC6)","39","21.7","80 - 356","0","11.393, 362","11.964, 346","36","2019-07 [21.9]","none","none","bK12K06C"
"(2014 PQ58)","5","24.1","26 - 118","7","11.477, 370","11.744, 354","36","? 2023-01 [22.6] ?","none","none","bK14P58Q"
"(2015 SA)","17","25.3","15 - 68","6","11.217, 346","11.990, 330","36","? 2025-09 [20.5] ?","none","none","bK15S00A"
"(2018 TC2)","3","26.0","11 - 49","8","11.503, 362","11.983, 354","36","? 2024-10 [23.1] ?","none","none","bK18T02C"
"(2018 OQ)","5","26.8","7.6 - 34","7","11.217, 378","11.990, 338","35","? 2027-07 [23.4] ?","none","none","bK18O00Q"
"(2013 TF4)","8","24.7","20 - 89","7","11.427, 362","11.949, 338","35","? 2027-06 [23.7] ?","none","none","bK13T04F"
